"Section";"Numero";"Ville";"Nom";"Adresse";"Email";"Site.web";"Capacité";"Logements";"Page";"year";"lat";"lon"
"Centres de jour";"3.13";"ETTELBRUCK";"Centre Pontalize Foyer de Jour  A Stackels";"17, avenue des Allis, L-9012 ETTELBRUCK";"chnp@chnp.lu";"www.chnp.lu";"23 chaises";"";30;2024;"49.8412069";"6.0983737"
"Centres de jour";"3.14";"FRISANGE";"Diderrich op der Grenz";"52, rue Robert Schuman, L-5751 FRISANGE";"frisange@shd.lu";"www.shd.lu";"30 chaises";"";30;2024;"49.5073004";"6.1921768"
"Centres de jour";"3.15";"GRAULINSTER";"Foyer Groupe Hllef";"9, rue Groeknapp, L-6240 GRAULINSTER";"contact@groupe-hellef.lu";"";"12 chaises";"";30;2024;"49.7416173";"6.2894731"
"Centres de jour";"3.16";"GREVENMACHER";"Foyer  St Franois";"15, rue des Remparts, L-6777 GREVENMACHER";"grevenmacher@hppa.lu";"www.hppa.lu";"11 chaises";"";30;2024;"49.6803781";"6.4404814"
"Centres de jour";"3.17";"HOWALD";"Centre de jour Hesper-Kopp";"48, rue du Couvent, L-1363 HOWALD";"hesperange@shd.lu";"www.shd.lu";"23 chaises";"";31;2024;"49.5891628";"6.1493934"
"Centres de jour";"3.18";"HOLZTHUM";"Foyer de jour Um aale Gaart";"54, Haaptstrooss, L-9834 HOLZTHUM";"hosingen@shd.lu";"www.shd.lu";"16 chaises";"";31;2024;"49.9851415";"6.0733201"
"Centres de jour";"3.19";"HUPPERDANGE";"Foyer de jour Op der Heed";"2, Kaesfourterstroos, L-9755 HUPPERDANGE";"clervaux@shd.lu";"www.shd.lu";"16 chaises";"";31;2024;"50.0959";"6.05718"
"Centres de jour";"3.2";"LAROCHETTE";"Foyer de jour Elise de Roebe";"35, Chemin J.A. Zinnen, L-7626 LAROCHETTE";"larochette@shd.lu";"www.shd.lu";"24 chaises";"";31;2024;"49.7847598";"6.2193348"
"Centres de jour";"3.21";"LIVANGE";"Centre psycho-griatrique Turi";"5, rue de Turi, L-3378 LIVANGE";"info@vbk.lu";"www.vbk.lu";"23 chaises";"";32;2024;"49.5322691";"6.1109731"
"Centres de jour";"3.22";"LORENTZWEILER";"Centre de jour Uelzechtdall";"3, place Ferdinand Dostert, L-7373 LORENTZWEILER";"karine.gujisaite@croix-rouge.lu";"www.croix-rouge.lu";"32 chaises";"";32;2024;"49.7014136";"6.141327"
"Centres de jour";"3.23";"LUXEMBOURG";"Centre de jour Chom";"50, rue d'Eich, L-1460 LUXEMBOURG";"amelie.thimonier@croix-rouge.lu";"www.croix-rouge.lu";"12 chaises";"";32;2024;"49.6311807";"6.1344481"
"Centres de jour";"3.24";"LUXEMBOURG";"Foyer de jour Bonnevoie";"145, route de Thionville, L-2611 LUXEMBOURG";"foyer.bonnevoie@alzheimer.lu";"www.alzheimer.lu";"14 chaises";"";32;2024;"49.5895304";"6.1418747"
"Centres de jour";"3.25";"LUXEMBOURG";"Centre psycho-griatrique  Foyer Bourbon";"30, rue Ste Zithe, L-2763 LUXEMBOURG";"stephanie.thiry@zitha.lu";"www.zitha.lu";"12 chaises";"";33;2024;"49.6043643";"6.1282885"
"Centres de jour";"3.26";"LUXEMBOURG";"Foyer de jour Dominique Marth";"45, rue Nicolas Hein, L-1721 LUXEMBOURG";"foyer.dommeldange@alzheimer.lu";"www.alzheimer.lu";"18 chaises";"";33;2024;"49.6369915";"6.1368842"
"Centres de jour";"3.27";"LUXEMBOURG";"Centre de jour Siwebueren";"306, rue de Rollingergrund, L-2441 LUXEMBOURG";"luxembourg.ouest@shd.lu";"www.shd.lu";"23 chaises";"";33;2024;"49.6236999";"6.1061138"
"Centres de jour";"3.28";"MAMER";"Foyer de jour Am Brill";"5, rue du March, L-8252 MAMER";"mamer@shd.lu";"www.shd.lu";"18 chaises";"";33;2024;"49.6270735";"6.0239425"
"Centres de jour";"3.29";"MERSCH";"Foyer  St Joseph";"37, rue de Colmar-Berg, L-7525 MERSCH";"mersch@hppa.lu";"www.hppa.lu";"12 chaises";"";34;2024;"49.7528625";"6.1022906"
"Centres de jour";"3.3";"MONDORF-LES-BAINS";"Centre de jour Aalbach";"6, Place des Villes Jumeles, L-5627 MONDORF-LES-BAINS";"mondorf@shd.lu";"www.shd.lu";"24 chaises";"";34;2024;"49.5058034";"6.2768487"
"Centres de jour";"3.31";"MONDORF-LES-BAINS";"Centre de Jour Mondorf";"33, route de Remich, L-5650 MONDORF-LES-BAINS";"cindy.piquard@croix-rouge.lu";"www.croix-rouge.lu";"12 chaises";"";34;2024;"49.5059469";"6.2797766"
"Centres de jour";"3.32";"NIEDERANVEN";"Foyer de jour Syrdall Heem";"6, Routscheed, L-6939 NIEDERANVEN";"info@syrdallheem.lu";"www.syrdallheem.lu";"22 chaises";"";34;2024;"49.6528141";"6.2465948"
"Centres de jour";"3.33";"PETANGE";"Centre de jour Bei der Kor";"7, place de la Libration, L-4753 PETANGE";"petange@shd.lu";"www.shd.lu";"24 chaises";"";35;2024;"49.5593748";"5.8752943"
"Centres de jour";"3.34";"PETANGE";"Foyer  Op der Maartplaz";"28, rue de l'Eglise, L-4732 PETANGE";"petange@zitha.lu";"www.zitha.lu";"12 chaises";"";35;2024;"49.5582824";"5.8753654"
"Centres de jour";"3.35";"REDANGE";"Foyer St Franois";"2, rue de l'Hpital, L-8509 REDANGE/ATTERT";"redange@hppa.lu";"www.hppa.lu";"15 chaises";"";35;2024;"49.4984075";"5.9184899"
"Centres de jour";"3.36";"RODANGE";"Foyer Parc Ronnwies";"5, rue Ronnwies, L-4809 RODANGE";"ronnwiss@paiperleck.lu";"www.paiperleck.lu";"4 chaises";"";35;2024;"49.5490401";"5.8470468"
"Centres de jour";"3.37";"RUMELANGE";"Foyer de jour Minettsheem";"6, rue de la Fontaine, L-3726 RUMELANGE";"foyer.rumelange@alzheimer.lu";"www.alzheimer.lu";"16 chaises";"";36;2024;"49.4621438";"6.0295539"
"Centres de jour";"3.38";"SANDWEILER";"Centre de jour Sandweiler";"29-31, rue Principale, L-5240 SANDWEILER";"info@syrdallheem.lu";"www.syrdallheem.lu";"11 chaises";"";36;2024;"49.6164934";"6.2192063"
"Centres de jour";"3.39";"SCHIFFLANGE";"Foyer  Beim Buer";"1, rue du Parc, L-3872 SCHIFFLANGE";"foyerbeimbuer@novelia.lu";"www.novelia.lu";"30 chaises";"";36;2024;"49.5016162";"6.0126998"
"Centres de jour";"3.4";"STEINFORT";"Hpital Intercommunal - Centre psycho-griatrique";"1, rue de l'Hpital, L-8423 STEINFORT";"info@his.lu";"www.his.lu";"23 chaises";"";36;2024;"49.6608154";"5.9127794"
"Centres de jour";"3.41";"TROISVIERGES";"Centre de jour Op Massen";"12, rue Massen, L-9907 TROISVIERGES";"clervaux@shd.lu";"www.shd.lu";"12 chaises";"";37;2024;"50.1177249";"5.9951463"
"Centres de jour";"3.42";"WASSERBILLIG";"Centre de jour Muselheem";"12, rue St Martin, L-6635 WASSERBILLIG";"markus.finnemann@croix-rouge.lu";"www.croix-rouge.lu";"25 chaises";"";37;2024;"49.7147456";"6.5007184"
"Centres de jour";"3.43";"WEIDINGEN";"Foyer Eisknippchen";"17, rue des Vieilles Tanneries, L-9572 WEIDINGEN";"info@paiperleck.lu";"www.paiperleck.lu";"36 chaises";"";37;2024;"49.9709818";"5.9400142"
"Centres de jour";"3.44";"WILTZ";"SERVIOR  Foyer Am Gertchen";"1, rue des Pcheurs, L-9552 WILTZ";"geenzeblei@servior.lu";"www.servior.lu";"18 chaises";"";37;2024;"49.9637483";"5.9370329"
